# 1st <= 1431 < 2nd <= 4337 < 3rd <= 18995 < 4th <= 24393 < 5th <= 79298 < 6th <= 80000 < 7th <= 95849 < 8th <= 106051 < 9th <= 138024 < 10th <= 152528 < 11th
# 1st= 1431  2nd= 2906  3rd= 14658  4th= 5398  5th= 54905  6th= 702  7th= 15849  8th= 10202  9th= 31973  10th= 14504  11th= 7472
#Cluster    Total     Frac C#      Color NumIn1st NumIn2nd NumIn3rd NumIn4th NumIn5th NumIn6th NumIn7th NumIn8th NumIn9th NumIn10th NumIn11th    Frac1    Frac2    Frac3    Frac4    Frac5    Frac6    Frac7    Frac8    Frac9    Frac10    Frac11   First1   First2   First3   First4   First5   First6   First7   First8   First9   First10   First11     Rep1     Rep2     Rep3     Rep4     Rep5     Rep6     Rep7     Rep8     Rep9     Rep10     Rep11
10            875   0.0055 11     orange        0        0        0        0        0        0      796       79        0        0        0   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0502   0.0077   0.0000   0.0000   0.0000       -1       -1       -1       -1       -1       -1    14142     8660       -1       -1       -1       -1       -1       -1       -1       -1       -1    94718   104552       -1       -1       -1
11            354   0.0022 12     indigo        0        0        0        0      351        3        0        0        0        0        0   0.0000   0.0000   0.0000   0.0000   0.0064   0.0043   0.0000   0.0000   0.0000   0.0000   0.0000       -1       -1       -1       -1    42381      168       -1       -1       -1       -1       -1       -1       -1       -1       -1    66946    79466       -1       -1       -1       -1       -1
12            235   0.0015 13     maroon        0        0        0        0        0        0        0        0      159       76        0   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0050   0.0052   0.0000       -1       -1       -1       -1       -1       -1       -1       -1     2589    10608       -1       -1       -1       -1       -1       -1       -1       -1       -1   108717   148667       -1
13            178   0.0011 14  turquoise        0        0        0        0      153       25        0        0        0        0        0   0.0000   0.0000   0.0000   0.0000   0.0028   0.0356   0.0000   0.0000   0.0000   0.0000   0.0000       -1       -1       -1       -1    40364        2       -1       -1       -1       -1       -1       -1       -1       -1       -1    64816    79315       -1       -1       -1       -1       -1
14            141   0.0009 15  darkgreen        0        0        0        0        0        0        0        0       40      101        0   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0013   0.0070   0.0000       -1       -1       -1       -1       -1       -1       -1       -1     1466     6638       -1       -1       -1       -1       -1       -1       -1       -1       -1   107533   144748       -1
15            120   0.0008 15  darkgreen        0        0        0        0        0        0        2       11       68       39        0   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0001   0.0011   0.0021   0.0027   0.0000       -1       -1       -1       -1       -1       -1      277      355     2779    10686       -1       -1       -1       -1       -1       -1       -1    80277    96206   108853   148738       -1
16             99   0.0006 15  darkgreen        0        0        0        0        0        0       27       31       41        0        0   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0017   0.0030   0.0013   0.0000   0.0000       -1       -1       -1       -1       -1       -1    14088     8578    16816       -1       -1       -1       -1       -1       -1       -1       -1    94099   104442   122911       -1       -1
17             99   0.0006 15  darkgreen        0        0        0        0        0        0        0        0        0       26       73   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0018   0.0098       -1       -1       -1       -1       -1       -1       -1       -1       -1     5892     5933       -1       -1       -1       -1       -1       -1       -1       -1       -1   143926   158481
18             88   0.0006 15  darkgreen        0        0        0        0        0        0        8       79        1        0        0   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0005   0.0077   0.0000   0.0000   0.0000       -1       -1       -1       -1       -1       -1    15151     8753    16903       -1       -1       -1       -1       -1       -1       -1       -1    95157   104675   122954       -1       -1
19             68   0.0004 15  darkgreen        0        0        0        0        0        0       24       24       20        0        0   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0015   0.0024   0.0006   0.0000   0.0000       -1       -1       -1       -1       -1       -1    14115     8609    16822       -1       -1       -1       -1       -1       -1       -1       -1    94130   104489   122937       -1       -1
20             37   0.0002 15  darkgreen        0        0        0        0        0        0        0        0        9       28        0   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0003   0.0019   0.0000       -1       -1       -1       -1       -1       -1       -1       -1     2580    10580       -1       -1       -1       -1       -1       -1       -1       -1       -1   108634   148621       -1
